sid,firstName,lastName,draftDate,releaseDate
1,Hershel,Sherrin,03/28/2023,09/06/2026
2,Merrel,Bullcock,02/27/2022,05/23/2026
3,Stevie,Wildber,02/13/2022,12/10/2026
4,Jarret,Lavallie,02/26/2023,11/06/2026
5,Silas,Sheasby,02/17/2023,09/02/2026
6,Kippar,Drees,01/28/2023,08/06/2026
7,Timotheus,Olenikov,02/27/2023,03/28/2026
8,Findlay,Creer,08/06/2023,01/27/2026
9,Dennet,Isaacs,03/05/2022,07/24/2026
10,Marlow,Carnegy,10/31/2022,03/23/2026
11,Granny,Ewbanche,11/01/2022,07/12/2026
12,Levi,Fullwood,12/03/2022,04/21/2026
13,Kahaleel,Swait,07/15/2022,01/29/2026
14,Chevy,Risman,04/13/2023,12/09/2026
15,Abran,Korba,02/04/2023,01/18/2026
16,Layton,Metham,02/25/2022,07/15/2026
17,Martino,Hands,07/31/2023,08/10/2026
18,Xymenes,McGettigan,09/30/2023,02/08/2026
19,Jud,Muris,09/30/2023,09/23/2026
20,Zolly,Jodlkowski,06/12/2022,03/01/2026
21,Iver,Bru,02/25/2022,05/30/2026
22,Derrick,Pole,03/01/2023,07/25/2026
23,Ted,Largen,10/11/2023,06/18/2026
24,Brenden,Grogono,09/02/2023,01/01/2026
25,Lazarus,Wychard,04/10/2022,10/04/2026
26,Evin,Berthome,08/31/2022,08/12/2026
27,Ellis,Munkton,07/25/2023,03/01/2026
28,Morry,Wingeat,02/13/2022,01/29/2026
29,Pablo,Frail,01/16/2022,01/16/2026
30,Aurthur,Kropach,03/02/2023,08/16/2026
31,Emmott,Arcase,12/21/2023,02/24/2026
32,Danie,Judkin,11/03/2023,03/19/2026
33,Pinchas,Birtwhistle,08/19/2022,11/03/2026
34,Abbey,Sommerscales,09/04/2023,11/28/2026
35,Emmott,Berringer,01/24/2023,04/28/2026
36,Correy,Lanning,09/04/2023,01/12/2026
37,Ryley,Ramelet,07/14/2023,12/18/2026
38,Stacy,Mannock,10/19/2023,03/20/2026
39,Cleon,Backshell,05/02/2023,11/29/2026
40,Herve,Yarranton,05/20/2022,05/08/2026
41,Olivier,Dowbakin,05/26/2022,11/14/2026
42,Hart,Patriskson,04/23/2023,04/06/2026
43,Alano,Clinton,08/13/2023,06/17/2026
44,Geordie,Goodbarr,08/12/2022,03/08/2026
45,Shermie,Ugolotti,05/30/2022,11/30/2026
46,Everard,Corday,03/29/2022,04/04/2026
47,Gawain,Clipson,10/03/2023,01/02/2026
48,Binky,Jahndel,04/09/2023,10/05/2026
49,Anderson,Paudin,12/04/2022,12/31/2026
50,Niles,Portugal,03/01/2022,12/05/2026
51,Stearne,Avis,06/20/2022,08/16/2026
52,Jens,Ruddell,04/07/2023,09/17/2026
53,Bordy,Geertz,10/16/2022,02/03/2026
54,Dell,Halladay,02/07/2023,12/07/2026
55,Bradney,Bonellie,02/15/2022,08/02/2026
56,Emmery,Lound,05/08/2022,09/24/2026
57,Weidar,Spick,07/01/2023,05/06/2026
58,Arch,Dyke,04/07/2023,12/25/2026
59,Lucian,Melin,01/29/2022,12/23/2026
60,Ervin,Gareisr,02/08/2022,06/05/2026
61,Bing,Pillman,01/19/2022,06/10/2026
62,Hadleigh,Kemm,05/19/2022,12/02/2026
63,Freedman,Seiller,02/17/2023,02/08/2026
64,Perren,Masham,02/08/2022,10/01/2026
65,Yank,Fairfoot,10/21/2023,03/22/2026
